name,r_in,g_in,b_in,raw0,raw1,raw2,raw3,raw4,raw5,X,Y,Z,x,y
grey_000,0,0,0,13,18,11,1,1,36,0.165092,0.205633,0.342914,0.231339,0.288147
grey_100,0.1,0.1,0.1,56,67,30,1,1,36,0.814432,0.898892,1.061364,0.293522,0.323961
grey_200,0.2,0.2,0.2,218,252,101,1,1,38,3.259769,3.516520,3.745951,0.309798,0.334199
grey_300,0.3,0.3,0.3,546,627,247,1,1,41,8.211680,8.819805,9.267521,0.312243,0.335366
grey_400,0.4,0.4,0.4,1063,1218,478,1,1,46,16.017702,17.176965,18.004069,0.312853,0.335496
grey_500,0.5,0.5,0.5,1823,2081,817,1,1,55,27.501317,29.386431,30.823305,0.313544,0.335037
grey_600,0.6,0.6,0.6,2793,3188,1251,1,1,65,42.150315,45.041318,47.237159,0.313551,0.335057
grey_700,0.7,0.7,0.7,4058,4636,1813,1,1,79,61.244950,65.518542,68.491438,0.313667,0.335554
grey_800,0.8,0.8,0.8,5526,6315,2465,1,1,95,83.405786,89.263986,93.148946,0.313769,0.335808
grey_900,0.9,0.9,0.9,7259,8299,3234,1,1,114,109.563593,117.321839,122.231433,0.313831,0.336053
grey_1000,1,1,1,9232,10552,4104,1,1,135,139.349171,149.194983,155.129458,0.314080,0.336272
red_250,0.25,0,0,169,87,13,1,1,37,2.644616,1.353788,0.356602,0.607259,0.310858
grn_250,0,0.25,0,139,289,30,1,1,37,1.844371,3.956513,1.081653,0.267978,0.574863
blu_250,0,0,0.25,64,58,137,1,1,37,1.033968,0.682527,5.149117,0.150601,0.099412
red_500,0.5,0,0,830,377,23,1,1,43,13.155526,6.185941,0.472296,0.663959,0.312204
grn_500,0,0.5,0,672,1439,111,1,1,42,8.942764,19.870559,4.231684,0.270624,0.601318
blu_500,0,0,0.5,281,225,676,1,1,39,4.737893,2.666522,25.708415,0.143083,0.080528
red_750,0.75,0,0,2177,968,43,1,1,54,34.574579,16.033813,0.693596,0.673942,0.312538
grn_750,0,0.75,0,1767,3801,275,1,1,51,23.525015,52.559461,10.610854,0.271353,0.606255
blu_750,0,0,0.75,725,566,1778,1,1,45,12.316941,6.717616,67.742147,0.141938,0.077413
red_1000,1,0,0,4352,1922,76,1,1,73,69.160836,31.930649,1.077863,0.676924,0.312527
grn_1000,0,1,0,3519,7603,542,1,1,69,46.824243,105.157924,21.000169,0.270688,0.607911
blu_1000,0,0,1,1422,1089,3514,1,1,56,24.237981,12.908421,133.955808,0.141658,0.075443
