name,r_in,g_in,b_in,raw0,raw1,raw2,raw3,raw4,raw5,X,Y,Z,x,y
grey_000,0,0,0,13,18,10,1,1,37,0.164411,0.206660,0.304646,0.243313,0.305838
grey_100,0.1,0.1,0.1,54,65,29,1,1,38,0.783716,0.870450,1.023579,0.292678,0.325068
grey_200,0.2,0.2,0.2,202,232,100,1,1,39,3.025043,3.229003,3.710383,0.303584,0.324053
grey_300,0.3,0.3,0.3,503,574,245,1,1,42,7.580156,8.056296,9.198456,0.305222,0.324394
grey_400,0.4,0.4,0.4,978,1112,476,1,1,47,14.772592,15.649429,17.941943,0.305446,0.323576
grey_500,0.5,0.5,0.5,1670,1897,811,1,1,55,25.247893,26.729085,30.621608,0.305670,0.323602
grey_600,0.6,0.6,0.6,2548,2893,1241,1,1,64,38.542183,40.781748,46.899070,0.305350,0.323093
grey_700,0.7,0.7,0.7,3672,4173,1790,1,1,76,55.552598,58.838420,67.682046,0.305112,0.323158
grey_800,0.8,0.8,0.8,4972,5658,2399,1,1,89,75.201749,79.809487,90.727032,0.306024,0.324774
grey_900,0.9,0.9,0.9,6491,7403,3133,1,1,105,98.160980,104.420176,118.514518,0.305706,0.325200
grey_1000,1,1,1,8125,9274,3922,1,1,122,122.867530,130.814022,148.382167,0.305592,0.325356
red_250,0.25,0,0,154,80,12,1,1,38,2.406219,1.239395,0.324271,0.606118,0.312199
grn_250,0,0.25,0,126,259,27,1,1,38,1.673580,3.543662,0.965057,0.270705,0.573195
blu_250,0,0,0.25,64,58,137,1,1,38,1.033968,0.682527,5.149117,0.150601,0.099412
red_500,0.5,0,0,743,340,21,1,1,44,11.769806,5.566077,0.431240,0.662449,0.313280
grn_500,0,0.5,0,602,1282,99,1,1,43,8.018884,17.703158,3.764129,0.271954,0.600389
blu_500,0,0,0.5,283,233,683,1,1,42,4.763353,2.767999,25.977544,0.142152,0.082605
red_750,0.75,0,0,1908,854,38,1,1,54,30.290175,14.121316,0.612074,0.672763,0.313643
grn_750,0,0.75,0,1552,3319,241,1,1,52,20.688996,45.902341,9.284191,0.272670,0.604969
blu_750,0,0,0.75,716,575,1761,1,1,49,12.142168,6.840046,67.098991,0.141055,0.079460
red_1000,1,0,0,3654,1625,64,1,1,69,58.046208,26.951359,0.903255,0.675735,0.313750
grn_1000,0,1,0,3020,6477,462,1,1,67,40.252686,89.611822,17.877307,0.272453,0.606543
blu_1000,0,0,1,1366,1079,3390,1,1,59,23.240873,12.817772,129.237494,0.140601,0.077544
