name,r_in,g_in,b_in,raw0,raw1,raw2,raw3,raw4,raw5,X,Y,Z,x,y
grey_000,0,0,0,11,14,11,1,1,105,0.138173,0.149766,0.342816,0.219059,0.237440
grey_100,0.1,0.1,0.1,41,50,22,1,1,106,0.586838,0.659694,0.758263,0.292717,0.329058
grey_200,0.2,0.2,0.2,130,166,51,1,1,107,1.901073,2.297642,1.854383,0.314066,0.379581
grey_300,0.3,0.3,0.3,326,414,123,1,1,109,4.812508,5.797981,4.577447,0.316864,0.381749
grey_400,0.4,0.4,0.4,610,776,226,1,1,113,9.026082,10.906282,8.473118,0.317758,0.383950
grey_500,0.5,0.5,0.5,1021,1299,374,1,1,117,15.124544,18.288397,14.070054,0.318525,0.385157
grey_600,0.6,0.6,0.6,1533,1953,557,1,1,124,22.716863,27.518708,20.990691,0.318939,0.386356
grey_700,0.7,0.7,0.7,2215,2824,800,1,1,132,32.829781,39.812593,30.180003,0.319286,0.387198
grey_800,0.8,0.8,0.8,3018,3848,1081,1,1,142,44.735828,54.272676,40.803575,0.319971,0.388183
grey_900,0.9,0.9,0.9,4000,5086,1427,1,1,155,59.319725,71.765419,53.881511,0.320705,0.387991
grey_1000,1,1,1,5179,6527,1808,1,1,170,76.876498,92.204060,68.253037,0.323917,0.388500
red_250,0.25,0,0,83,50,14,1,1,106,1.277515,0.732379,0.429816,0.523634,0.300191
grn_250,0,0.25,0,115,225,20,1,1,106,1.539441,3.085192,0.693169,0.289488,0.580163
blu_250,0,0,0.25,36,23,69,1,1,105,0.578047,0.247388,2.551657,0.171167,0.073255
red_500,0.5,0,0,359,188,25,1,1,109,5.644651,2.966241,0.744184,0.603378,0.317073
grn_500,0,0.5,0,526,1052,55,1,1,111,7.087438,14.595863,2.054037,0.298578,0.614890
blu_500,0,0,0.5,137,62,308,1,1,107,2.354219,0.671824,11.655230,0.160355,0.045761
red_750,0.75,0,0,870,443,43,1,1,116,13.729348,7.097954,1.235536,0.622284,0.321715
grn_750,0,0.75,0,1344,2670,118,1,1,120,18.168429,37.143080,4.499588,0.303764,0.621006
blu_750,0,0,0.75,329,137,765,1,1,110,5.731177,1.487306,29.063203,0.157963,0.040993
red_1000,1,0,0,1650,832,66,1,1,127,26.067301,13.406146,1.814210,0.631358,0.324701
grn_1000,0,1,0,2857,5443,201,1,1,138,38.983522,75.981643,7.676267,0.317866,0.619543
blu_1000,0,0,1,651,267,1523,1,1,115,11.382303,2.919274,57.936565,0.157566,0.040412
