name,r_in,g_in,b_in,raw0,raw1,raw2,raw3,raw4,raw5,X,Y,Z,x,y
grey_000,0,0,0,15,20,12,1,1,40,0.195808,0.234075,0.380699,0.241565,0.288774
grey_100,0.1,0.1,0.1,60,70,32,1,1,40,0.877421,0.942576,1.136645,0.296763,0.318800
grey_200,0.2,0.2,0.2,239,271,115,1,1,42,3.587784,3.785166,4.276051,0.307991,0.324935
grey_300,0.3,0.3,0.3,614,692,288,1,1,46,9.265457,9.740040,10.819215,0.310664,0.326576
grey_400,0.4,0.4,0.4,1195,1346,559,1,1,52,18.061391,18.985923,21.070736,0.310771,0.326679
grey_500,0.5,0.5,0.5,2043,2301,954,1,1,61,30.898447,32.487303,36.012884,0.310854,0.326839
grey_600,0.6,0.6,0.6,3149,3546,1474,1,1,72,47.645266,50.084146,55.685517,0.310565,0.326462
grey_700,0.7,0.7,0.7,4576,5154,2134,1,1,87,69.242575,72.821300,80.650353,0.310903,0.326972
grey_800,0.8,0.8,0.8,6200,6977,2892,1,1,104,93.837008,98.598063,109.323106,0.310968,0.326745
grey_900,0.9,0.9,0.9,8103,9137,3780,1,1,124,122.619478,129.117752,142.920156,0.310699,0.327164
grey_1000,1,1,1,10161,11456,4733,1,1,145,153.767667,161.907306,178.968368,0.310866,0.327321
red_250,0.25,0,0,190,97,15,1,1,41,2.978469,1.515962,0.424882,0.605464,0.308165
grn_250,0,0.25,0,153,316,34,1,1,41,2.037090,4.330274,1.235116,0.267951,0.569587
blu_250,0,0,0.25,73,64,159,1,1,40,1.188788,0.752951,5.987960,0.149916,0.094953
red_500,0.5,0,0,930,423,25,1,1,47,14.742699,6.944553,0.509057,0.664196,0.312870
grn_500,0,0.5,0,740,1572,126,1,1,47,9.872918,21.715029,4.808144,0.271263,0.596631
blu_500,0,0,0.5,322,253,793,1,1,45,5.453579,2.978916,30.172043,0.141268,0.077165
red_750,0.75,0,0,2453,1094,46,1,1,61,38.954951,18.117499,0.698345,0.674302,0.313610
grn_750,0,0.75,0,1941,4146,313,1,1,59,25.897570,57.341254,12.072638,0.271715,0.601620
blu_750,0,0,0.75,833,638,2092,1,1,53,14.208855,7.511369,79.721626,0.140069,0.074046
red_1000,1,0,0,4769,2115,78,1,1,81,75.773186,35.116146,0.988884,0.677283,0.313878
grn_1000,0,1,0,3775,8094,599,1,1,78,50.341474,111.973160,23.187816,0.271379,0.603621
blu_1000,0,0,1,1604,1211,4057,1,1,65,27.434607,14.240620,154.673716,0.139724,0.072527
