name,r_in,g_in,b_in,raw0,raw1,raw2,raw3,raw4,raw5,X,Y,Z,x,y
grey_000,0,0,0,11,14,11,1,1,104,0.138173,0.149766,0.342816,0.219059,0.237440
grey_100,0.1,0.1,0.1,55,64,30,1,1,104,0.802529,0.857759,1.061026,0.294905,0.315200
grey_200,0.2,0.2,0.2,177,204,82,1,1,106,2.642021,2.839530,3.026729,0.310524,0.333737
grey_300,0.3,0.3,0.3,426,487,192,1,1,109,6.403293,6.844184,7.185953,0.313373,0.334950
grey_400,0.4,0.4,0.4,795,905,354,1,1,114,11.978695,12.761543,13.310493,0.314809,0.335382
grey_500,0.5,0.5,0.5,1305,1483,579,1,1,120,19.684852,20.942529,21.817386,0.315236,0.335377
grey_600,0.6,0.6,0.6,1949,2213,863,1,1,128,29.415477,31.274909,32.554959,0.315463,0.335405
grey_700,0.7,0.7,0.7,2777,3152,1226,1,1,139,41.924152,44.567254,46.278533,0.315765,0.335673
grey_800,0.8,0.8,0.8,3739,4243,1654,1,1,151,56.461383,60.004834,62.462393,0.315553,0.335356
grey_900,0.9,0.9,0.9,4901,5538,2152,1,1,167,74.043510,78.370185,81.277899,0.316843,0.335357
grey_1000,1,1,1,6247,7012,2746,1,1,186,94.461996,99.282072,103.721253,0.317556,0.333760
red_250,0.25,0,0,121,70,16,1,1,105,1.877560,1.052640,0.491968,0.548646,0.307595
grn_250,0,0.25,0,131,253,21,1,1,104,1.761708,3.478303,0.731057,0.295041,0.582526
blu_250,0,0,0.25,54,31,114,1,1,103,0.894598,0.334413,4.266449,0.162789,0.060853
red_500,0.5,0,0,518,269,31,1,1,109,8.157935,4.273285,0.912828,0.611354,0.320239
grn_500,0,0.5,0,557,1101,57,1,1,109,7.526298,15.288154,2.128315,0.301743,0.612929
blu_500,0,0,0.5,213,93,494,1,1,106,3.692366,1.006702,18.741590,0.157520,0.042947
red_750,0.75,0,0,1233,625,54,1,1,118,19.469940,10.046128,1.516455,0.627404,0.323729
grn_750,0,0.75,0,1385,2719,120,1,1,118,18.773034,37.850722,4.568555,0.306787,0.618554
blu_750,0,0,0.75,518,215,1221,1,1,111,9.053057,2.338807,46.435371,0.156554,0.040445
red_1000,1,0,0,2293,1151,79,1,1,134,36.236750,18.590364,2.062675,0.636964,0.326779
grn_1000,0,1,0,2874,5410,200,1,1,135,39.316001,75.573193,7.619402,0.320924,0.616881
blu_1000,0,0,1,1027,431,2424,1,1,119,17.972959,4.736093,92.263342,0.156324,0.041193
