name,r_in,g_in,b_in,raw0,raw1,raw2,raw3,raw4,raw5,X,Y,Z,x,y
grey_000,0,0,0,11,13,10,1,1,99,0.139049,0.137594,0.304259,0.239367,0.236862
grey_100,0.1,0.1,0.1,44,48,24,1,1,100,0.641039,0.635847,0.832624,0.303881,0.301419
grey_200,0.2,0.2,0.2,166,172,82,1,1,102,2.509538,2.400272,3.023292,0.316338,0.302564
grey_300,0.3,0.3,0.3,425,438,204,1,1,105,6.471210,6.183571,7.631485,0.318995,0.304816
grey_400,0.4,0.4,0.4,805,830,385,1,1,111,12.282373,11.755131,14.469724,0.318963,0.305271
grey_500,0.5,0.5,0.5,1334,1376,636,1,1,118,20.371002,19.516216,23.952199,0.319098,0.305708
grey_600,0.6,0.6,0.6,2014,2077,967,1,1,127,30.775506,29.472830,36.460811,0.318227,0.304757
grey_700,0.7,0.7,0.7,2882,2977,1396,1,1,139,44.052880,42.244050,52.677480,0.316986,0.303970
grey_800,0.8,0.8,0.8,3941,4089,1913,1,1,153,60.225789,58.016339,72.221708,0.316206,0.304606
grey_900,0.9,0.9,0.9,5159,5342,2609,1,1,171,78.936442,75.710009,98.572238,0.311732,0.298991
grey_1000,1,1,1,6711,6933,3363,1,1,199,102.696103,98.318152,127.062890,0.313024,0.299680
red_250,0.25,0,0,134,75,15,1,1,103,2.084560,1.139618,0.448246,0.567625,0.310318
grn_250,0,0.25,0,108,210,19,1,1,103,1.446100,2.877486,0.654270,0.290507,0.578057
blu_250,0,0,0.25,58,31,122,1,1,102,0.966348,0.332340,4.570464,0.164649,0.056625
red_500,0.5,0,0,604,309,33,1,1,109,9.522409,4.931212,0.955285,0.617981,0.320023
grn_500,0,0.5,0,491,983,51,1,1,106,6.612066,13.635501,1.899549,0.298552,0.615678
blu_500,0,0,0.5,248,104,573,1,1,105,4.309183,1.124514,21.749315,0.158525,0.041368
red_750,0.75,0,0,1458,735,59,1,1,120,23.031295,11.838286,1.620187,0.631171,0.324428
grn_750,0,0.75,0,1235,2447,108,1,1,114,16.702295,34.042616,4.110144,0.304481,0.620592
blu_750,0,0,0.75,623,253,1453,1,1,110,10.892313,2.763370,55.268659,0.158033,0.040093
red_1000,1,0,0,2758,1372,82,1,1,140,43.601749,22.218093,1.994590,0.642957,0.327631
grn_1000,0,1,0,2582,4915,181,1,1,129,35.234215,68.610886,6.903876,0.318145,0.619517
blu_1000,0,0,1,1363,646,3113,1,1,126,23.676723,7.382318,118.513465,0.158296,0.049356
