name,r_in,g_in,b_in,raw0,raw1,raw2,raw3,raw4,raw5,X,Y,Z,x,y
grey_000,0,0,0,10,13,11,1,1,99,0.123156,0.135032,0.343057,0.204834,0.224587
grey_100,0.1,0.1,0.1,52,58,34,1,1,100,0.764877,0.769853,1.213949,0.278271,0.280081
grey_200,0.2,0.2,0.2,171,182,99,1,1,101,2.588423,2.522485,3.674082,0.294642,0.287136
grey_300,0.3,0.3,0.3,404,428,222,1,1,104,6.150987,6.000863,8.328552,0.300335,0.293005
grey_400,0.4,0.4,0.4,758,799,412,1,1,108,11.570052,11.246090,15.518918,0.301814,0.293363
grey_500,0.5,0.5,0.5,1237,1302,663,1,1,115,18.896926,18.362860,25.015480,0.303442,0.294866
grey_600,0.6,0.6,0.6,1833,1929,980,1,1,122,28.014878,27.228165,37.011505,0.303669,0.295142
grey_700,0.7,0.7,0.7,2652,2795,1420,1,1,133,40.540551,39.464104,53.665281,0.303288,0.295235
grey_800,0.8,0.8,0.8,3587,3787,1905,1,1,145,54.823301,53.495002,72.016016,0.304009,0.296643
grey_900,0.9,0.9,0.9,4755,5013,2607,1,1,162,72.751369,70.749383,98.614877,0.300482,0.292213
grey_1000,1,1,1,6321,6666,3384,1,1,190,96.662189,94.173751,127.996222,0.303176,0.295371
red_250,0.25,0,0,118,68,15,1,1,101,1.830270,1.022664,0.454714,0.553345,0.309182
grn_250,0,0.25,0,104,203,20,1,1,101,1.391385,2.777925,0.692632,0.286179,0.571361
blu_250,0,0,0.25,62,35,134,1,1,100,1.034595,0.378957,5.028708,0.160595,0.058824
red_500,0.5,0,0,516,267,29,1,1,105,8.126538,4.245870,0.836775,0.615219,0.321433
grn_500,0,0.5,0,451,904,54,1,1,104,6.074165,12.528286,2.012689,0.294646,0.607723
blu_500,0,0,0.5,252,117,587,1,1,103,4.364776,1.287870,22.286703,0.156223,0.046095
red_750,0.75,0,0,1270,645,52,1,1,116,20.050685,10.368961,1.426068,0.629620,0.325600
grn_750,0,0.75,0,1144,2276,116,1,1,112,15.465785,31.637658,4.415032,0.300199,0.614103
blu_750,0,0,0.75,623,284,1470,1,1,110,10.855620,3.155091,55.928193,0.155216,0.045112
red_1000,1,0,0,2520,1266,74,1,1,135,39.816652,20.461855,1.784120,0.641556,0.329697
grn_1000,0,1,0,2471,4717,200,1,1,129,33.715762,65.807557,7.632498,0.314642,0.614130
blu_1000,0,0,1,1361,720,3127,1,1,127,23.537867,8.341612,119.071728,0.155930,0.055260
