name,r_in,g_in,b_in,raw0,raw1,raw2,raw3,raw4,raw5,X,Y,Z,x,y
grey_000,0,0,0,8,12,9,1,1,100,0.090201,0.120816,0.267295,0.188582,0.252588
grey_100,0.1,0.1,0.1,29,32,19,1,1,100,0.413933,0.406768,0.644614,0.282487,0.277598
grey_200,0.2,0.2,0.2,97,96,57,1,1,101,1.467223,1.316884,2.081217,0.301567,0.270667
grey_300,0.3,0.3,0.3,227,220,129,1,1,103,3.477859,3.079216,4.803380,0.306137,0.271047
grey_400,0.4,0.4,0.4,410,395,231,1,1,105,6.307962,5.565262,8.660203,0.307205,0.271034
grey_500,0.5,0.5,0.5,664,637,371,1,1,109,10.236407,9.005626,13.952906,0.308373,0.271295
grey_600,0.6,0.6,0.6,965,922,536,1,1,113,14.893922,13.060035,20.189799,0.309364,0.271272
grey_700,0.7,0.7,0.7,1333,1275,739,1,1,118,20.581924,18.075821,27.864986,0.309397,0.271724
grey_800,0.8,0.8,0.8,1740,1662,962,1,1,123,26.877009,23.579712,36.294666,0.309816,0.271808
grey_900,0.9,0.9,0.9,2213,2112,1218,1,1,130,34.190386,29.982583,45.970384,0.310417,0.272214
grey_1000,1,1,1,2716,2593,1488,1,1,136,41.962259,36.826305,56.174900,0.310916,0.272861
red_250,0.25,0,0,77,41,10,1,1,101,1.189358,0.608483,0.277324,0.573139,0.293221
grn_250,0,0.25,0,52,103,14,1,1,100,0.681163,1.384348,0.461649,0.269537,0.547788
blu_250,0,0,0.25,37,25,80,1,1,101,0.599004,0.264029,2.972647,0.156166,0.068835
red_500,0.5,0,0,320,145,15,1,1,104,5.058399,2.349078,0.369755,0.650411,0.302045
grn_500,0,0.5,0,204,426,32,1,1,102,2.709711,5.862521,1.163390,0.278330,0.602172
blu_500,0,0,0.5,137,72,335,1,1,103,2.357046,0.776095,12.691349,0.148949,0.049044
red_750,0.75,0,0,746,327,24,1,1,111,11.841820,5.396013,0.540679,0.666075,0.303513
grn_750,0,0.75,0,467,984,64,1,1,105,6.221580,13.598513,2.410062,0.279871,0.611715
blu_750,0,0,0.75,310,153,770,1,1,106,5.394750,1.664193,29.269271,0.148500,0.045810
red_1000,1,0,0,1359,589,36,1,1,119,21.602126,9.782854,0.750283,0.672225,0.304427
grn_1000,0,1,0,847,1788,109,1,1,110,11.298403,24.747749,4.163400,0.280988,0.615469
blu_1000,0,0,1,552,266,1381,1,1,111,9.646207,2.899890,52.554885,0.148173,0.044544
